-134041525.13734226	-1.7967130461144756e+16	-0.007957747154594767	-1.7967130461144756e+16	0.0	-1.7967130461144756e+16
-8375548.853339045	-70149818594669.0	-0.007957747154594541	-70149818594669.01	0.0	-70149818594669.01
-1653755.8115385612	-2734908284197.5654	-0.007957747154588949	-2734908284197.573	0.0	-2734908284197.573
-522960.38949192566	-273487568977.5466	-0.007957747154536572	-273487568977.55457	0.0	-273487568977.55457
-214047.55653554798	-45816356458.83861	-0.007957747154247392	-45816356458.846565	0.0	-45816356458.846565
-103132.59358450715	-10636331859.467125	-0.007957747153098434	-10636331859.475082	0.0	-10636331859.475082
-55609.43488269134	-3092409247.9722886	-0.007957747149448134	-3092409247.9802465	0.0	-3092409247.9802465
-32557.37388560332	-1059982594.326965	-0.007957747139579903	-1059982594.3349227	0.0	-1059982594.3349227
-20297.232742812506	-411977657.0159001	-0.007957747115962832	-411977657.02385783	0.0	-411977657.02385783
-13296.373370297864	-176793544.8023662	-0.007957747064571715	-176793544.81032395	0.0	-176793544.81032395
-9066.036344469587	-82193014.99924347	-0.007957746960959161	-82193015.00720121	0.0	-82193015.00720121
-6389.20378978615	-40821925.0674177	-0.007957746764718634	-40821925.07537545	0.0	-40821925.07537545
-4629.245756547595	-21429916.274513915	-0.00795774641191831	-21429916.28247166	0.0	-21429916.28247166
-3434.0899391129433	-11792973.709916739	-0.00795774580502046	-11792973.717874484	0.0	-11792973.717874484
-2599.722585967728	-6758557.52399073	-0.007957744799729214	-6758557.531948474	0.0	-6758557.531948474
-2003.1258890540992	-4012513.327398775	-0.00795774318812961	-4012513.335356518	0.0	-4012513.335356518
-1567.531670934211	-2457155.5393817993	-0.007957740677392144	-2457155.54733954	0.0	-2457155.54733954
-1243.5788414560714	-1546488.3349172247	-0.007957736863217877	-1546488.3428749617	0.0	-1546488.3428749617
-998.6827723538696	-997367.2797964109	-0.007957731197088811	-997367.2877541421	0.0	-997367.2877541421
-810.8259669783666	-657438.7487264033	-0.007957722946264578	-657438.7566841263	0.0	-657438.7566841263
-664.8182456220343	-441983.2997119595	-0.007957711145328537	-441983.3076696706	0.0	-441983.3076696706
-549.9819218417676	-302480.1143527642	-0.007957694537931543	-302480.12231045874	0.0	-302480.12231045874
-458.683484056377	-210390.53854609665	-0.007957671507208629	-210390.54650376816	0.0	-210390.54650376816
-385.381431170494	-148518.8474910182	-0.00795763999314975	-148518.8554486582	0.0	-148518.8554486582
-325.9963374068087	-106273.61200265387	-0.007957597394988322	-106273.61996025126	0.0	-106273.61996025126
-277.48643213552265	-76998.72001930201	-0.007957540456427511	-76998.72797684246	0.0	-76998.72797684246
-237.55683863086904	-56433.25158029275	-0.00795746513125102	-56433.259537757884	0.0	-56433.259537757884
-204.457307105431	-41802.790428804525	-0.00795736642655853	-41802.79838617095	0.0	-41802.79838617095
-176.83950972477066	-31272.21219969726	-0.007957238220522321	-31272.220156935546	0.0	-31272.220156935546
-153.65503680686632	-23609.870336119442	-0.007957073051176045	-23609.87829319247	0.0	-23609.87829319247
-134.08159882270198	-17977.875142851997	-0.007956861872314034	-17977.883099713905	0.0	-17977.883099713905
-117.4690311663552	-13798.973283162128	-0.007956593772094301	-13798.981239755909	0.0	-13798.981239755909
-103.29937163927765	-10670.7601810696	-0.00795625564939372	-10670.76813732528	0.0	-10670.76813732528
-91.15705238045821	-8309.608198693602	-0.007955831842352766	-8309.616154525458	0.0	-8309.616154525458
-80.7064386403676	-6513.52923801142	-0.007955303702861058	-6513.537193315115	0.0	-6513.537193315115
-71.67475727466345	-5137.270830381921	-0.007954649109964716	-5137.278785031051	0.0	-5137.278785031051
-63.83901619200847	-4075.4199883635197	-0.007953841914311649	-4075.4279422054433	0.0	-4075.4279422054433
-57.01590502272961	-3250.813425560924	-0.007952851304779442	-3250.8213784122236	0.0	-3250.8213784122236
-51.0539412232193	-2606.5049144239306	-0.007951641087339296	-2606.5128660650134	0.0	-2606.5128660650134
-45.827320678781284	-2100.1433205958547	-0.00795016886498324	-2100.1512707647225	0.0	-2100.1512707647225
-41.231071769553836	-1700.0012792660993	-0.007948385106163804	-1700.0092276512055	0.0	-1700.0092276512055
-37.17721321559089	-1382.1451824775058	-0.007946232087645968	-1382.153128709594	0.0	-1382.153128709594
-33.59169006439599	-1128.4016413824404	-0.007943642695929065	-1128.4095850251363	0.0	-1128.4095850251363
-30.411916718624017	-924.884678500523	-0.007940539069436528	-924.8926190395944	0.0	-924.8926190395944
-27.584796372364508	-760.9209909048142	-0.007936831061466275	-760.9289277359034	0.0	-760.9289277359034
-25.065116476602654	-628.2600639856579	-0.007932414501412546	-628.2679964005026	0.0	-628.2679964005026
-22.814242624720567	-520.4896665396168	-0.007927169228975224	-520.4975937111967	0.0	-520.4975937111967
-20.799050500729972	-432.6005017319157	-0.007920956872925024	-432.608422699117	0.0	-432.608422699117
-18.991048686007165	-360.6599301942945	-0.00791361834244584	-360.6678438445608	0.0	-360.6678438445608
-17.36565520872642	-301.565980828367	-0.007904970995077466	-301.5738858742992	0.0	-301.5738858742992
-15.901598502520088	-252.8608349353491	-0.007894805440773176	-252.86872988248825	0.0	-252.86872988248825
-14.580419477316655	-212.58863213451488	-0.007882881936500137	-212.5965152425145	0.0	-212.5965152425145
-13.386056112198855	-179.1864982389363	-0.007868926320069797	-179.1943674809918	0.0	-179.1943674809918
-12.304495668874358	-151.40061366534783	-0.007852625425403043	-151.40846668888375	0.0	-151.40846668888375
-11.323482529226121	-128.22125658968918	-0.007833621914112065	-128.22909067718845	0.0	-128.22909067718845
