-347391.5870518983	-120680914754.43663	-0.007957747154561797	-120680914754.4446	0.0	(-120680914754.4446+0j)
-86847.54320994756	-7542495761.603708	-0.00795774715406724	-7542495761.611666	0.0	(-7542495761.611666+0j)
-38598.64620260313	-1489855488.673729	-0.007957747151924124	-1489855488.6816866	0.0	(-1489855488.6816866+0j)
-21711.532250536056	-471390632.6660673	-0.007957747146154054	-471390632.67402506	0.0	(-471390632.67402506+0j)
-13895.210936131934	-193076886.9596005	-0.007957747133987052	-193076886.96755826	0.0	(-193076886.96755826+0j)
-9649.308000498782	-93109144.88848981	-0.007957747111861332	-93109144.89644755	0.0	(-93109144.89644755+0j)
-7089.16244622923	-50256224.1890268	-0.007957747075423011	-50256224.19698455	0.0	(-50256224.19698455+0j)
-5427.5295150010015	-29458076.636207007	-0.007957747019525747	-29458076.644164752	0.0	(-29458076.644164752+0j)
-4288.319448391879	-18389683.691456027	-0.00795774693823033	-18389683.699413773	0.0	(-18389683.699413773+0j)
-3473.449189638433	-12064849.272999886	-0.007957746824804192	-12064849.280957634	0.0	(-12064849.280957634+0j)
-2870.5373546632077	-8239984.704516846	-0.007957746671720865	-8239984.712474592	0.0	(-8239984.712474592+0j)
-2411.9734596884787	-5817615.970241609	-0.007957746470659355	-5817615.978199355	0.0	(-5817615.978199355+0j)
-2055.1029220888195	-4223448.020378005	-0.007957746212503482	-4223448.028335751	0.0	(-4223448.028335751+0j)
-1771.937075799274	-3139761.0005920823	-0.007957745887341121	-3139761.008549828	0.0	(-3139761.008549828+0j)
-1543.4933213207316	-2382371.6329617035	-0.007957745484463407	-2382371.640919449	0.0	(-2382371.640919449+0j)
-1356.5288483904	-1840170.5165153851	-0.007957744992363854	-1840170.52447313	0.0	(-1840170.52447313+0j)
-1201.5772683899645	-1443787.9319114888	-0.007957744398737423	-1443787.9398692332	0.0	(-1443787.9398692332+0j)
-1071.7263378563293	-1148597.343254939	-0.007957743690479514	-1148597.3512126827	0.0	(-1148597.3512126827+0j)
-961.8335011925637	-925123.6840163455	-0.007957742853684904	-925123.6919740884	0.0	(-925123.6919740884+0j)
-868.0087800063021	-753439.242168029	-0.00795774187364661	-753439.2501257708	0.0	(-753439.2501257708+0j)
-787.265731805897	-619787.3324758745	-0.00795774073485469	-619787.3404336151	0.0	(-619787.3404336151+0j)
-717.2808288210754	-514491.7873942488	-0.00795773942099498	-514491.7953519882	0.0	(-514491.7953519882+0j)
-656.2244089244981	-430630.4748683069	-0.007957737914947763	-430630.4828260448	0.0	(-430630.4828260448+0j)
-602.6398633563189	-363174.8049061227	-0.00795773619878637	-363174.8128638589	0.0	(-363174.8128638589+0j)
-555.3559489921714	-308420.2300809953	-0.007957734253775725	-308420.2380387295	0.0	(-308420.2380387295+0j)
-513.4222379558237	-263602.39442756644	-0.00795773206037081	-263602.4023852985	0.0	(-263602.4023852985+0j)
-476.06098157217286	-226634.0581754607	-0.007957729598215071	-226634.0661331903	0.0	(-226634.0661331903+0j)
-442.6307861034874	-195922.01280659123	-0.007957726846138763	-195922.02076431806	0.0	(-195922.02076431806+0j)
-412.59890028371865	-170237.852515334	-0.007957723782157212	-170237.86047305778	0.0	(-170237.86047305778+0j)
-385.51985792471595	-148625.56085429317	-0.00795772038346903	-148625.56881201355	0.0	(-148625.56881201355+0j)
-361.01886301152894	-130334.61945013709	-0.007957716626454246	-130334.62740785372	0.0	(-130334.62740785372+0j)
-338.7787508539607	-114771.04203016996	-0.00795771248667238	-114771.04998788245	0.0	(-114771.04998788245+0j)
-318.52967196146045	-101461.1519198756	-0.007957707938860449	-101461.15987758354	0.0	(-101461.15987758354+0j)
-300.0408677368294	-90024.52231226955	-0.007957702956930898	-90024.5302699725	0.0	(-90024.5302699725+0j)
-283.11406691018374	-80153.574882424	-0.007957697513969467	-80153.58284012151	0.0	(-80153.58284012151+0j)
-267.5781477077419	-71598.06513070613	-0.007957691582232999	-71598.07308839772	0.0	(-71598.07308839772+0j)
-253.28479589369738	-64153.18783091194	-0.00795768513314717	-64153.195788597186	0.0	(-64153.195788597186+0j)
-240.10495186767298	-57650.38791137756	-0.00795767813730414	-57650.39586905577	0.0	(-57650.39586905577+0j)
-227.92588709476343	-51950.210007934846	-0.007957670564460163	-51950.21796560548	0.0	(-51950.21796560548+0j)
-216.64878561874437	-46936.69631007666	-0.007957662383533102	-46936.70426773895	0.0	(-46936.70426773895+0j)
-206.18673334008355	-42512.969005454725	-0.007957653562599892	-42512.97696310831	0.0	(-42512.97696310831+0j)
-196.4630383382752	-38597.72543310659	-0.007957644068893923	-38597.73339075064	0.0	(-38597.73339075064+0j)
-187.40982138341684	-35122.4411509642	-0.007957633868802353	-35122.44910859809	0.0	(-35122.44910859809+0j)
-178.96682808393695	-32029.12555442544	-0.007957622927863365	-32029.133512048465	0.0	(-32029.133512048465+0j)
-171.08042371698124	-29268.511379181837	-0.007957611210763332	-29268.519336793044	0.0	(-29268.519336793044+0j)
-163.70273932415012	-26798.586862230644	-0.007957598681333928	-26798.59481982936	0.0	(-26798.59481982936+0j)
-156.79094360555806	-24583.399996721288	-0.007957585302549168	-24583.407954306593	0.0	(-24583.407954306593+0j)
-150.3066198692161	-22592.079976509027	-0.007957571036522353	-22592.087934080075	0.0	(-22592.087934080075+0j)
-144.21523106275552	-20798.032870483967	-0.007957555844502988	-20798.040828039775	0.0	(-20798.040828039775+0j)
-138.48565893831955	-19178.277731580565	-0.007957539686873578	-19178.285689120283	0.0	(-19178.285689120283+0j)
