1	2.0	2.7127005559657082e-08	5.881248498787854e-11
1	1.6666666666666667	3.954481139139615e-07	1.1973805538199799e-09
1	1.4285714285714286	2.682169745427633e-06	5.842835575483895e-09
1	1.25	1.1279355829562995e-05	1.930778886813703e-08
1	1.1111111111111112	3.450391858539216e-05	4.932237198953073e-08
2	2.0	6.5509800653568815e-09	5.27816471863169e-11
2	1.6666666666666667	9.819922409942914e-08	4.535528779675406e-10
2	1.4285714285714286	6.679182304681811e-07	2.030094206610059e-09
2	1.25	2.8118991921747905e-06	6.558748603841237e-09
2	1.1111111111111112	8.607312612072344e-06	1.6422066866293197e-08
3	2.0	2.922406744851895e-09	2.954377811546574e-11
3	1.6666666666666667	4.347759637707972e-08	2.2434961533369275e-10
3	1.4285714285714286	2.9586996524894176e-07	1.1170034738341897e-09
3	1.25	1.2468080812642837e-06	3.547433531833442e-09
3	1.1111111111111112	3.818505815763528e-06	8.81844508734397e-09
5	2.0	1.0459527032318963e-09	4.645767683030843e-12
5	1.6666666666666667	1.5583557533947236e-08	8.609151861441449e-11
5	1.4285714285714286	1.0588963738293668e-07	5.433157202345051e-10
5	1.25	4.4707236280108865e-07	1.660313112301791e-09
5	1.1111111111111112	1.370429599490312e-06	4.090912309596962e-09
7	2.0	5.053211837494182e-10	1.5138213229766448e-11
7	1.6666666666666667	7.845169968771467e-09	7.565096017799428e-11
7	1.4285714285714286	5.3860161834759826e-08	2.976047517055292e-10
7	1.25	2.273558436705749e-07	1.0004411795605289e-09
7	1.1111111111111112	6.973384475179903e-07	2.4891644717363596e-09
10	2.0	2.429884688998515e-10	8.009534526491937e-12
10	1.6666666666666667	3.784469480049457e-09	5.330483151674333e-11
10	1.4285714285714286	2.6143081756837336e-08	2.1321489785740252e-10
10	1.25	1.1083402978218687e-07	6.239700979989904e-10
10	1.1111111111111112	3.404675027868068e-07	1.4888864289944532e-09
