-25963.925498107445	-674125427.271274	-0.007957747154358675	-674125427.2792317	0.0	(-674125427.2792317+0j)
-6490.627825950439	-42128249.57500212	-0.007957747150816898	-42128249.58295987	0.0	(-42128249.58295987+0j)
-2884.461596072092	-8320118.699214761	-0.00795774713546584	-8320118.707172508	0.0	(-8320118.707172508+0j)
-1622.3034223555637	-2631868.3941865745	-0.007957747094122539	-2631868.4021443217	0.0	(-2631868.4021443217+0j)
-1038.1045036316527	-1077660.96046032	-0.007957747006909224	-1077660.968418067	0.0	(-1077660.968418067+0j)
-720.7618889630762	-519497.7005816218	-0.007957746848231634	-519497.70853936864	0.0	(-519497.70853936864+0j)
-529.4143094470139	-280279.5110472586	-0.007957746586751108	-280279.5190050052	0.0	(-280279.5190050052+0j)
-405.22237924923235	-164205.1766444087	-0.007957746185350396	-164205.18460215488	0.0	(-164205.18460215488+0j)
-320.07680939731165	-102449.16391396297	-0.007957745601093138	-102449.17187170858	0.0	(-102449.17187170858+0j)
-259.17269292908765	-67170.48476011516	-0.007957744785176954	-67170.49271785995	0.0	(-67170.49271785995+0j)
-214.11054347450596	-45843.32482694831	-0.007957743682880101	-45843.33278469199	0.0	(-45843.33278469199+0j)
-179.8370922777698	-32341.379758923096	-0.007957742233501595	-32341.38771666533	0.0	(-32341.38771666533+0j)
-153.16429722491517	-23459.30194440216	-0.007957740370294727	-23459.30990214253	0.0	(-23459.30990214253+0j)
-132.00026008113662	-17424.06866148771	-0.007957738020393899	-17424.07661922573	0.0	(-17424.07661922573+0j)
-114.92620417901293	-13208.032406996168	-0.007957735104734636	-13208.040364731272	0.0	(-13208.040364731272+0j)
-100.95234989431218	-10191.376949183632	-0.00795773153796672	-10191.38490691517	0.0	(-10191.38490691517+0j)
-89.3711707749886	-7987.206165692176	-0.007957727228360263	-7987.214123419404	0.0	(-7987.214123419404+0j)
-79.6660394899954	-6346.677848021506	-0.007957722077704635	-6346.685805743584	0.0	(-6346.685805743584+0j)
-71.45259678142344	-5105.473586808683	-0.007957715981200097	-5105.481544524664	0.0	(-5105.481544524664+0j)
-64.4401021455765	-4152.526764532334	-0.00795770882734196	-4152.534722241161	0.0	(-4152.534722241161+0j)
-58.40534616997556	-3411.1844612346786	-0.007957700497797135	-3411.192418935176	0.0	(-3411.192418935176+0j)
-53.1746662886106	-2827.545134905101	-0.007957690867272904	-2827.5530925959683	0.0	(-2827.5530925959683+0j)
-48.61131190080035	-2363.059644716894	-0.007957679803377691	-2363.0676023966976	0.0	(-2363.0676023966976+0j)
-44.60641475236486	-1989.7322370599936	-0.007957667166473687	-1989.74019472716	0.0	(-1989.74019472716+0j)
-41.07243507516475	-1686.9449230036234	-0.007957652809521064	-1686.9528806564329	0.0	(-1686.9528806564329+0j)
-37.93833703272188	-1439.3174168083967	-0.007957636577913603	-1439.3253744449746	0.0	(-1439.3253744449746+0j)
-35.145990988493956	-1235.2406825632984	-0.007957618309305473	-1235.248640181609	0.0	(-1235.248640181609+0j)
-32.64745859752206	-1065.856552876917	-0.007957597833428929	-1065.8645104747497	0.0	(-1065.8645104747497+0j)
-30.40292155165993	-924.3376388763878	-0.007957574971902644	-924.3455964513573	0.0	(-924.3455964513573+0j)
-28.379085308632625	-805.3724829546481	-0.00795754953803043	-805.3804405041868	0.0	(-805.3804405041868+0j)
-26.54793727901791	-704.7929737706688	-0.007957521336590027	-704.8009312920061	0.0	(-704.8009312920061+0j)
-24.885772290912822	-619.3016625151644	-0.007957490163611657	-619.3096200053274	0.0	(-619.3096200053274+0j)
-23.372421553405154	-546.2700892700777	-0.007957455806146044	-546.2780467258848	0.0	(-546.2780467258848+0j)
-21.99063796447735	-483.5881580847126	-0.007957418042021535	-483.5961155027532	0.0	(-483.5961155027532+0j)
-20.725602554503787	-429.5506012472539	-0.007957376639589946	-429.55855862389245	0.0	(-429.55855862389245+0j)
-19.56452553191485	-382.770659288948	-0.00795733135746082	-382.7786166203055	0.0	(-382.7786166203055+0j)
-18.49632176131648	-342.1139186981496	-0.00795728194422362	-342.1218759800944	0.0	(-342.1218759800944+0j)
-17.511345216339368	-306.6472112858117	-0.007957228138157524	-306.65516851395006	0.0	(-306.65516851395006+0j)
-16.601170469373372	-275.5988609531945	-0.007957169666928303	-275.60681812286083	0.0	(-275.60681812286083+0j)
-15.758411931676982	-248.32754660841945	-0.007957106247271896	-248.33550371466652	0.0	(-248.33550371466652+0j)
-14.976573570196068	-224.2977559034954	-0.00795703758466416	-224.30571294108006	0.0	(-224.30571294108006+0j)
-14.249923366935638	-203.06031596353833	-0.007956963372976302	-203.0682729269114	0.0	(-203.0682729269114+0j)
-13.573387972519702	-184.2368610525425	-0.007956883294115475	-184.2448179358368	0.0	(-184.2448179358368+0j)
-12.942463925037897	-167.50737245090735	-0.007956797017649966	-167.51532924792474	0.0	(-167.51532924792474+0j)
-12.35314252275965	-152.60013018761268	-0.00795670420041841	-152.60808689181292	0.0	(-152.60808689181292+0j)
-11.801846002556928	-139.28356906806894	-0.007956604486122407	-139.29152567255522	0.0	(-139.29152567255522+0j)
-11.285373120608226	-127.35964647134664	-0.007956497504901936	-127.36760296885106	0.0	(-127.36760296885106+0j)
-10.800852585031993	-116.6584165635923	-0.007956382872892853	-116.66637294646537	0.0	(-116.66637294646537+0j)
-10.345703071874341	-107.03357205139018	-0.007956260191765801	-107.04152831158186	0.0	(-107.04152831158186+0j)
-9.917598781876578	-98.35876559827977	-0.007956129048245792	-98.36672172732774	0.0	(-98.36672172732774+0j)
